,year,month,day,country,region,province_or_state,city,lat,lon,attacktype1,target_type1,group_name,total_perps,weapon_type1,total_killed,total_wounded,deadly_score
57,1970,2,9,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Business,Armed Revolutionary Independence Movement (MIRA),1,Explosives,0,0,0
58,1970,2,9,United States,North America,Ohio,Batavia,39.07859,-84.179414,Bombing/Explosion,Private Citizens & Property,Strikers,-99,Explosives,0,0,0
59,1970,2,10,West Germany (FRG),Western Europe,Bavaria,Munich,48.139126,11.580186,Armed Assault,Airports & Aircraft,Popular Front for the Liberation of Palestine (PFLP),3,Firearms,1,-1,-1
60,1970,2,11,United States,North America,Michigan,Ypsilanti,42.263414,-83.665281,Facility/Infrastructure Attack,Educational Institution,Student Radicals,-99,Incendiary,0,0,0
61,1970,2,13,United States,North America,California,Berkeley,37.874043,-122.280022,Bombing/Explosion,Police,Unknown,-1,Explosives,0,7,7
62,1970,2,13,West Germany (FRG),Western Europe,Bavaria,Munich,48.139126,11.580186,Facility/Infrastructure Attack,Private Citizens & Property,Popular Front for the Liberation of Palestine (PFLP),-1,Incendiary,7,9,23
63,1970,2,13,United States,North America,California,Berkeley,37.874043,-122.280022,Bombing/Explosion,Police,Black Nationalists,-99,Explosives,0,7,7
64,1970,2,15,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Business,Left-Wing Militants,-99,Explosives,0,0,0
65,1970,2,15,United States,North America,Oregon,Eugene,44.04483,-123.072606,Facility/Infrastructure Attack,Military,Student Radicals,-99,Incendiary,0,1,1
66,1970,2,16,United States,North America,California,San Francisco,37.755363,-122.443352,Bombing/Explosion,Police,Unknown,-1,Explosives,1,0,2
67,1970,2,16,United States,North America,California,Berkeley,37.874043,-122.280022,Bombing/Explosion,Business,Unknown,-1,Explosives,0,0,0
68,1970,2,16,United States,North America,California,Berkeley,37.874043,-122.280022,Bombing/Explosion,Business,Unknown,-1,Explosives,0,0,0
69,1970,2,16,United States,North America,California,San Francisco,37.755363,-122.443352,Armed Assault,Police,Left-Wing Militants,1,Firearms,0,0,0
70,1970,2,17,United States,North America,California,Oakland,37.791927,-122.225906,Bombing/Explosion,Business,Unknown,-99,Explosives,0,0,0
71,1970,2,17,United States,North America,Maryland,Buckeystown,39.334825,-77.431653,Bombing/Explosion,Utilities,Unknown,-99,Explosives,0,0,0
72,1970,2,17,United States,North America,Louisiana,Covington,30.493919,-90.132512,Bombing/Explosion,Educational Institution,White extremists,-99,Explosives,0,0,0
73,1970,2,17,United States,North America,Washington,Seattle,47.610786,-122.331306,Bombing/Explosion,Military,Student Radicals,-99,Explosives,0,0,0
74,1970,2,18,United States,North America,Ohio,Cleveland,41.479561,-81.675461,Bombing/Explosion,Police,Black Nationalists,-99,Explosives,0,0,0
75,1970,2,18,United States,North America,California,Vallejo,38.10083,-122.254954,Bombing/Explosion,Police,Black Nationalists,-99,Explosives,0,0,0
76,1970,2,20,United States,North America,Connecticut,Hartford,41.763325,-72.674069,Facility/Infrastructure Attack,Government (General),Left-Wing Militants,-99,Incendiary,0,0,0
77,1970,2,20,United States,North America,New York,New York City,40.697132,-73.931351,Facility/Infrastructure Attack,Educational Institution,Student Radicals,-99,Incendiary,0,0,0
78,1970,2,20,United States,North America,Washington,Seattle,47.610786,-122.331306,Bombing/Explosion,Educational Institution,Student Radicals,-99,Explosives,0,0,0
79,1970,2,21,West Germany (FRG),Western Europe,Hesse,Frankfurt,50.11797,8.644191,Bombing/Explosion,Airports & Aircraft,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",4,Explosives,0,0,0
80,1970,2,21,Switzerland,Western Europe,Zurich,Zurich,47.36865,8.539182,Bombing/Explosion,Airports & Aircraft,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",-1,Explosives,47,0,94
81,1970,2,21,United States,North America,New York,New York City,40.697132,-73.931351,Facility/Infrastructure Attack,Police,Left-Wing Militants,-99,Incendiary,0,0,0
82,1970,2,21,United States,North America,New York,New York City,40.697132,-73.931351,Facility/Infrastructure Attack,Military,Left-Wing Militants,-99,Incendiary,0,0,0
83,1970,2,21,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Private Citizens & Property,"Weather Underground, Weathermen",4,Explosives,0,0,0
84,1970,2,21,United States,North America,Colorado,Denver,39.758968,-104.876305,Facility/Infrastructure Attack,Private Citizens & Property,Black Nationalists,-99,Incendiary,0,0,0
85,1970,2,22,United States,North America,New York,Ithaca,42.455233,-76.475847,Facility/Infrastructure Attack,Educational Institution,White extremists,-99,Incendiary,0,0,0
86,1970,2,22,United States,North America,Wisconsin,Prairie du Sac,43.287052,-89.724361,Bombing/Explosion,Utilities,New Year's Gang,1,Explosives,0,0,0
87,1970,2,23,United States,North America,Nebraska,South Sioux City,42.47031,-96.413949,Bombing/Explosion,Utilities,Strikers,-99,Explosives,0,0,0
88,1970,2,23,United States,North America,Nebraska,South Sioux City,42.47031,-96.413949,Bombing/Explosion,Utilities,Strikers,-99,Explosives,0,0,0
89,1970,2,23,United States,North America,Nebraska,South Sioux City,42.47031,-96.413949,Bombing/Explosion,Utilities,Strikers,-99,Explosives,0,0,0
90,1970,2,23,United States,North America,Nebraska,South Sioux City,42.47031,-96.413949,Bombing/Explosion,Utilities,Strikers,-99,Explosives,0,0,0
91,1970,2,23,United States,North America,Arizona,Tucson,32.222232,-110.925752,Bombing/Explosion,Military,Left-Wing Militants,-99,Explosives,0,0,0
92,1970,2,24,United States,North America,Colorado,Denver,39.758968,-104.876305,Bombing/Explosion,Private Citizens & Property,White extremists,-99,Explosives,0,0,0
93,1970,2,24,United States,North America,Illinois,Champaign,40.101952,-88.227161,Facility/Infrastructure Attack,Military,Student Radicals,-99,Incendiary,0,0,0
94,1970,2,27,United States,North America,Colorado,Boulder,40.007581,-105.265942,Bombing/Explosion,Educational Institution,Student Radicals,-99,Explosives,0,0,0
95,1970,2,28,Jordan,Middle East & North Africa,Khalil,Hebron,31.530243,35.094162,Armed Assault,Tourists,Unknown,-1,Firearms,-1,-1,-1
96,1970,3,0,Philippines,Southeast Asia,Metropolitian Manila,Manila,14.596051,120.978666,Bombing/Explosion,Government (Diplomatic),Unknown,-1,Explosives,0,0,0
97,1970,3,1,Italy,Western Europe,Lazio,Rome,41.890961,12.490069,Bombing/Explosion,Airports & Aircraft,Eritrean Liberation Front,-1,Explosives,0,0,0
98,1970,3,1,United States,North America,Colorado,Boulder,40.007581,-105.265942,Bombing/Explosion,Military,Student Radicals,-99,Explosives,0,0,0
99,1970,3,1,United States,North America,Colorado,Colorado Springs,38.864281,-104.778412,Facility/Infrastructure Attack,Military,Left-Wing Militants,-99,Incendiary,0,0,0
100,1970,3,1,United States,North America,Colorado,Boulder,40.007581,-105.265942,Facility/Infrastructure Attack,Police,Student Radicals,-99,Incendiary,0,0,0
101,1970,3,1,United States,North America,Colorado,Boulder,40.014986,-105.270546,Bombing/Explosion,Police,Left-Wing Militants,-99,Explosives,0,0,0
102,1970,3,2,United States,North America,Ohio,Cleveland,41.479561,-81.675461,Facility/Infrastructure Attack,Private Citizens & Property,Black Nationalists,-99,Incendiary,0,0,0
103,1970,3,3,Spain,Western Europe,Unknown,Unknown,0.0,0.0,Hostage Taking (Kidnapping),Government (General),1st of May Group,3,Unknown,0,0,0
104,1970,3,3,United States,North America,Colorado,Denver,39.758968,-104.876305,Bombing/Explosion,Private Citizens & Property,Left-Wing Militants,-99,Explosives,0,0,0
105,1970,3,3,United States,North America,Washington,Seattle,47.610786,-122.331306,Bombing/Explosion,Government (General),Student Radicals,4,Explosives,0,0,0
106,1970,3,4,United States,North America,California,Oakland,37.791927,-122.225906,Bombing/Explosion,Military,Left-Wing Militants,-99,Explosives,0,0,0
107,1970,3,4,United States,North America,California,Martinez,38.019304,-122.134062,Bombing/Explosion,Transportation,Unknown,-99,Explosives,0,0,0
108,1970,3,4,United States,North America,Colorado,Denver,39.758968,-104.876305,Bombing/Explosion,Private Citizens & Property,Left-Wing Militants,-99,Explosives,0,0,0
109,1970,3,5,United States,North America,Washington,Seattle,47.610786,-122.331306,Bombing/Explosion,Government (General),Left-Wing Militants,-99,Explosives,0,0,0
110,1970,3,5,United States,North America,Colorado,Denver,39.758968,-104.876305,Bombing/Explosion,Private Citizens & Property,Left-Wing Militants,-99,Explosives,0,0,0
111,1970,3,5,United States,North America,Puerto Rico,San Juan,18.386932,-66.061127,Assassination,Military,Armed Commandos of Liberation,-99,Firearms,2,0,4
112,1970,3,6,Guatemala,Central America & Caribbean,Guatemala,Guatemala City,14.622869,-90.529068,Hostage Taking (Kidnapping),Government (Diplomatic),Rebel Armed Forces of Guatemala (FAR),-1,Firearms,0,0,0
113,1970,3,6,United States,North America,Michigan,Detroit,42.331685,-83.047924,Bombing/Explosion,Police,"Weather Underground, Weathermen",-99,Explosives,0,0,0
114,1970,3,6,United States,North America,Michigan,Detroit,42.331685,-83.047924,Bombing/Explosion,Police,"Weather Underground, Weathermen",-99,Explosives,0,0,0
115,1970,3,9,United States,North America,California,Berkeley,37.874043,-122.280022,Facility/Infrastructure Attack,Educational Institution,Unknown,-1,Incendiary,0,0,0
116,1970,3,9,United States,North America,Alabama,Ashville,33.83651,-86.254749,Facility/Infrastructure Attack,Private Citizens & Property,Ku Klux Klan,-1,Chemical,0,0,0
117,1970,3,9,United States,North America,Connecticut,Bridgeport,41.18188,-73.191269,Facility/Infrastructure Attack,Religious Figures/Institutions,White extremists,-99,Incendiary,0,0,0
118,1970,3,9,United States,North America,New Mexico,Albuquerque,35.084319,-106.619781,Bombing/Explosion,Military,White extremists,-99,Explosives,0,0,0
119,1970,3,9,United States,North America,Maryland,Bel Air,39.53894,-76.348479,Bombing/Explosion,Unknown,Black Nationalists,2,Explosives,2,0,4
120,1970,3,10,West Germany (FRG),Western Europe,Bavaria,Munich,48.139126,11.580186,Bombing/Explosion,Government (General),Unknown,-1,Explosives,0,0,0
121,1970,3,10,United States,North America,Maryland,Cambridge,38.563122,-76.078063,Bombing/Explosion,Government (General),Left-Wing Militants,1,Explosives,0,0,0
122,1970,3,10,United States,North America,California,San Francisco,37.755363,-122.443352,Facility/Infrastructure Attack,Business,Student Radicals,-99,Incendiary,0,0,0
123,1970,3,11,Brazil,South America,Sao Paulo,Sao Paulo,-23.550711,-46.633475,Hostage Taking (Kidnapping),Government (Diplomatic),Popular Revolutionary Vanguard (VPR),6,Unknown,0,0,0
124,1970,3,11,United States,North America,Illinois,Champaign,40.102408,-88.227159,Facility/Infrastructure Attack,Military,Student Radicals,-99,Incendiary,0,0,0
125,1970,3,12,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Business,Revolutionary Force 9,-1,Explosives,0,0,0
126,1970,3,12,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Business,Revolutionary Force 9,-1,Explosives,0,0,0
127,1970,3,12,United States,North America,Illinois,Chicago,41.842602,-87.681229,Bombing/Explosion,Police,Black Nationalists,-99,Explosives,0,0,0
128,1970,3,12,United States,North America,Illinois,Chicago,41.842602,-87.681229,Bombing/Explosion,Police,Black Nationalists,-99,Explosives,0,0,0
129,1970,3,12,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Business,Revolutionary Force 9,-99,Explosives,0,0,0
130,1970,3,13,United States,North America,Wisconsin,Appleton,44.260288,-88.397455,Facility/Infrastructure Attack,Military,Student Radicals,-99,Incendiary,0,0,0
131,1970,3,13,United States,North America,Wisconsin,Appleton,44.268598,-88.42844,Facility/Infrastructure Attack,Educational Institution,Student Radicals,-99,Incendiary,0,0,0
132,1970,3,14,Ethiopia,Sub-Saharan Africa,Unknown,Unknown,0.0,0.0,Hostage Taking (Kidnapping),Journalists & Media,Eritrean Liberation Front,-1,Unknown,0,0,0
133,1970,3,14,Egypt,Middle East & North Africa,Alexandria,Alexandria,31.198056,29.919167,Bombing/Explosion,Airports & Aircraft,Unknown,-1,Explosives,0,2,2
134,1970,3,14,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Military,Left-Wing Militants,-99,Explosives,0,0,0
135,1970,3,14,United States,North America,California,Long Beach,33.766725,-118.192399,Hijacking,Military,Left-Wing Militants,2,Firearms,0,0,0
136,1970,3,15,United States,North America,Puerto Rico,San Juan,18.386932,-66.061127,Bombing/Explosion,Business,Puerto Rican Nationalists,-99,Explosives,0,0,0
137,1970,3,15,United States,North America,Montana,Billings,45.783975,-108.505794,Bombing/Explosion,Police,Unknown,-99,Explosives,0,0,0
138,1970,3,16,United States,North America,California,San Bernardino,34.105245,-117.294124,Facility/Infrastructure Attack,Government (General),White extremists,-99,Incendiary,0,1,1
139,1970,3,17,United States,North America,California,Los Angeles,34.097866,-118.407379,Bombing/Explosion,Educational Institution,Chicano Liberation Front,-99,Explosives,0,0,0
140,1970,3,18,United States,North America,Ohio,Lockland,39.226835,-84.453309,Bombing/Explosion,Utilities,Unknown,-99,Explosives,0,0,0
141,1970,3,20,United States,North America,Oregon,Portland,45.511795,-122.675629,Bombing/Explosion,Military,White extremists,-99,Incendiary,0,0,0
142,1970,3,20,United States,North America,Michigan,Detroit,42.331685,-83.047924,Assassination,Private Citizens & Property,White extremists,-99,Firearms,1,0,2
143,1970,3,21,United States,North America,District of Columbia,Washington,38.908642,-77.015381,Bombing/Explosion,Government (General),Left-Wing Militants,-99,Explosives,0,0,0
144,1970,3,21,United States,North America,New York,New York City,40.697132,-73.931351,Facility/Infrastructure Attack,Business,Puerto Rican Resistance Movement,-99,Incendiary,0,0,0
145,1970,3,21,United States,North America,New York,New York City,40.697132,-73.931351,Facility/Infrastructure Attack,Business,Puerto Rican Resistance Movement,-99,Incendiary,0,1,1
146,1970,3,22,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Business,Black Panthers,1,Explosives,0,0,0
147,1970,3,22,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Business,Black Panthers,1,Explosives,0,0,0
148,1970,3,22,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Business,Black Panthers,1,Explosives,0,17,17
149,1970,3,23,United States,North America,Florida,Orlando,28.538235,-81.377389,Bombing/Explosion,Private Citizens & Property,Strikers,-99,Explosives,0,0,0
150,1970,3,24,Philippines,Southeast Asia,Pampanga,Angeles,15.153002,120.591942,Unknown,Military,Unknown,-1,Unknown,1,0,2
151,1970,3,24,Dominican Republic,Central America & Caribbean,National,Santo Domingo,18.456792,-69.951164,Hostage Taking (Kidnapping),Military,Dominican Popular Movement (MPD),5,Unknown,0,0,0
152,1970,3,24,Argentina,South America,Corrientes,Ituzaingo,-27.583246,-56.683334,Hostage Taking (Kidnapping),Government (Diplomatic),Argentine Liberation Front (FAL),-1,Unknown,0,0,0
153,1970,3,24,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Business,Unknown,-99,Explosives,0,0,0
154,1970,3,24,United States,North America,Ohio,Cleveland,41.479561,-81.675461,Bombing/Explosion,Private Citizens & Property,White extremists,-99,Explosives,0,0,0
155,1970,3,24,United States,North America,California,Richmond,37.93781,-122.342709,Bombing/Explosion,Police,Black Nationalists,-99,Explosives,0,0,0
156,1970,3,27,United States,North America,California,San Francisco,37.755363,-122.443352,Bombing/Explosion,Police,Black Nationalists,-99,Explosives,0,0,0
157,1970,3,29,Argentina,South America,Buenos Aires,Buenos Aires,-34.61768,-58.444435,Hostage Taking (Kidnapping),Government (Diplomatic),Argentine National Organization Movement (MANO),4,Unknown,0,0,0
158,1970,3,29,Lebanon,Middle East & North Africa,Beirut,Beirut,33.888523,35.503513,Bombing/Explosion,Government (Diplomatic),Popular Front for the Liberation of Palestine (PFLP),-1,Explosives,0,0,0
159,1970,3,30,United States,North America,Illinois,Biggsville,40.85122,-90.864369,Facility/Infrastructure Attack,Government (General),Left-Wing Militants,-99,Incendiary,0,0,0
160,1970,3,30,United States,North America,Georgia,Fort Benning,32.3575,-84.95623,Facility/Infrastructure Attack,Military,Left-Wing Militants,1,Incendiary,0,0,0
161,1970,3,31,Guatemala,Central America & Caribbean,Guatemala,Guatemala City,14.622869,-90.529068,Hostage Taking (Kidnapping),Government (Diplomatic),Rebel Armed Forces of Guatemala (FAR),-1,Unknown,1,0,2
162,1970,3,31,Japan,East Asia,unknown,Fukouka,33.580412,130.396361,Hijacking,Airports & Aircraft,Japanese Red Army (JRA),-1,Explosives,0,0,0
163,1970,3,31,United States,North America,District of Columbia,Washington,38.908642,-77.015381,Bombing/Explosion,Government (General),Left-Wing Militants,-99,Explosives,0,0,0
164,1970,3,31,United States,North America,Washington,Seattle,47.610786,-122.331306,Bombing/Explosion,Educational Institution,Student Radicals,-99,Explosives,0,0,0
165,1970,4,0,Ethiopia,Sub-Saharan Africa,Unknown,Unknown,0.0,0.0,Hostage Taking (Kidnapping),Government (Diplomatic),Eritrean Liberation Front,-1,Unknown,0,0,0
166,1970,4,1,United States,North America,Michigan,East Lansing,42.7375,-84.483779,Bombing/Explosion,Educational Institution,Student Radicals,-99,Explosives,0,0,0
167,1970,4,1,United States,North America,New York,Ithaca,42.455233,-76.475847,Facility/Infrastructure Attack,Educational Institution,White extremists,-99,Incendiary,0,0,0
168,1970,4,1,United States,North America,Texas,Houston,29.813822,-95.365295,Facility/Infrastructure Attack,Military,Student Radicals,-99,Incendiary,0,0,0
169,1970,4,2,Philippines,Southeast Asia,Pampanga,Mabalacat City,15.185916,120.54187,Unknown,Military,New People's Army (NPA),-1,Unknown,2,0,4
170,1970,4,2,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Business,Left-Wing Militants,-99,Explosives,0,0,0
171,1970,4,3,Ireland,Western Europe,Dublin,Dublin,53.361675,-6.245485,Armed Assault,Business,Saor Eire (Irish Republican Group),-1,Firearms,1,-1,-1
172,1970,4,4,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Business,Left-Wing Militants,-99,Explosives,0,0,0
173,1970,4,4,United States,North America,New York,New York City,40.697132,-73.931351,Bombing/Explosion,Private Citizens & Property,Left-Wing Militants,-99,Explosives,0,0,0
174,1970,4,4,United States,North America,Washington,Pullman,46.731958,-117.162603,Facility/Infrastructure Attack,Educational Institution,Student Radicals,-99,Incendiary,0,0,0
175,1970,4,5,Brazil,South America,Rio Grande do Sul,Porto Alegre,-30.034108,-51.217839,Hostage Taking (Kidnapping),Government (Diplomatic),Popular Revolutionary Vanguard (VPR),-1,Unknown,0,1,1
176,1970,4,5,Argentina,South America,Buenos Aires,Buenos Aires,-34.61768,-58.444435,Armed Assault,Military,Argentine Liberation Front (FAL),-1,Firearms,-1,-1,-1
177,1970,4,5,United States,North America,California,Trona,35.76625,-117.370674,Bombing/Explosion,Utilities,Strikers,-99,Explosives,0,0,0
178,1970,4,5,United States,North America,California,Trona,35.76625,-117.370674,Facility/Infrastructure Attack,Business,Strikers,-99,Incendiary,0,0,0
